Station,State,District,Latitude,Longitude,rainfall_mm,timestamp,source_file
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,15.0,2013-06-28 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2013-06-29 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,27.0,2013-06-30 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,12.0,2013-07-01 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2013-07-03 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,12.0,2013-07-04 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,6.0,2013-07-05 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,14.0,2013-07-06 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,10.0,2013-07-07 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,10.0,2013-07-10 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,32.0,2013-07-12 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,3.0,2013-07-15 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,10.0,2013-07-16 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2013-07-17 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2013-07-19 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2013-07-20 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,2.0,2013-07-21 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,5.0,2013-07-22 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,2.0,2013-07-25 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2013-07-26 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,41.0,2013-07-27 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,15.0,2013-07-28 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,5.0,2013-07-30 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,8.0,2013-08-02 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2013-08-03 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,27.0,2013-08-06 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,13.0,2013-08-07 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,2.0,2013-08-08 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2013-08-11 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,5.0,2013-08-14 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,3.0,2013-08-15 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,3.0,2013-08-16 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,30.0,2013-08-17 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,7.0,2013-08-22 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,32.0,2013-08-24 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,10.0,2013-08-26 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,27.0,2013-08-27 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,16.0,2013-08-28 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,13.0,2013-08-29 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,2.0,2013-08-30 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
